»’∆⁄,◊Ó∏ﬂ∆¯Œ¬,◊ÓµÕ∆¯Œ¬,ÃÏ∆¯
2024-01-01,8,3,∂‡‘∆
2024-01-02,11,4,∂‡‘∆~“ı
2024-01-03,10,3,«Á
2024-01-04,11,4,«Á
2024-01-05,14,8,∂‡‘∆~–°”Í
2024-01-06,13,0,“ı~«Á
2024-01-07,5,0,“ı~«Á
2024-01-08,9,6,“ı~∂‡‘∆
2024-01-09,13,3,“ı~∂‡‘∆
2024-01-10,7,0,∂‡‘∆
2024-01-11,11,4,«Á
2024-01-12,16,6,«Á
2024-01-13,16,8,«Á
2024-01-14,20,4,«Á~–°”Í
2024-01-15,7,4,∂‡‘∆~«Á
2024-01-16,11,8,∂‡‘∆~«Á
2024-01-17,18,7,«Á~“ı
2024-01-18,9,8,–°”Í
2024-01-19,9,6,–°”Í~÷–”Í
2024-01-20,6,4,–°”Í~“ı
2024-01-21,5,0,“ı
2024-01-22,1,-2,“ı
2024-01-23,0,-2,«Á
2024-01-24,4,-1,«Á~∂‡‘∆
2024-01-25,6,0,∂‡‘∆~«Á
2024-01-26,8,1,“ı
2024-01-27,7,2,“ı~«Á
2024-01-28,10,3,«Á
2024-01-29,11,8,“ı~–°”Í
2024-01-30,10,7,–°”Í
2024-01-31,12,8,–°”Í
2024-02-01,9,5,–°”Í
2024-02-02,6,4,“ı~–°”Í
2024-02-03,6,4,–°”Í
2024-02-04,6,3,÷–”Í~–°”Í
2024-02-05,3,0,“ı
2024-02-06,3,2,“ı
2024-02-07,5,0,“ı~∂‡‘∆
2024-02-08,7,1,∂‡‘∆~“ı
2024-02-09,9,3,«Á
2024-02-10,14,4,«Á~–°”Í
2024-02-11,15,6,«Á
2024-02-12,15,8,“ı
2024-02-13,19,11,“ı~–°”Í
2024-02-14,22,8,“ı~∂‡‘∆
2024-02-15,10,2,–°”Í~“ı
2024-02-16,11,5,«Á
2024-02-17,15,12,“ı~«Á
2024-02-18,22,13,“ı~–°”Í
2024-02-19,22,8,“ı~–°”Í
2024-02-20,9,8,–°”Í~÷–”Í
2024-02-21,7,3,¥Û”Í~–°”Í
2024-02-22,2,1,”Íº–—©
2024-02-23,2,1,”Íº–—©
2024-02-24,2,0,”Íº–—©~“ı
2024-02-25,3,1,–°—©~“ı
2024-02-26,8,4,∂‡‘∆
2024-02-27,9,4,«Á~–°”Í
2024-02-28,9,7,÷–”Í~–°”Í
2024-02-29,6,3,÷–”Í~–°”Í
2024-03-01,6,0,“ı
2024-03-02,9,3,∂‡‘∆~«Á
2024-03-03,14,8,«Á~–°”Í
2024-03-04,11,10,–°”Í
2024-03-05,12,6,–°”Í
2024-03-06,11,4,“ı
2024-03-07,12,5,∂‡‘∆~«Á
2024-03-08,12,4,“ı~«Á
2024-03-09,13,5,«Á
2024-03-10,14,8,«Á~–°”Í
2024-03-11,15,7,–°”Í~«Á
2024-03-12,16,5,“ı
2024-03-13,14,8,∂‡‘∆~“ı
2024-03-14,14,9,“ı~∂‡‘∆
2024-03-15,18,12,∂‡‘∆~“ı
2024-03-16,19,12,“ı
2024-03-17,14,8,“ı
2024-03-18,11,7,“ı
2024-03-19,18,5,∂‡‘∆~«Á
2024-03-20,18,7,«Á~∂‡‘∆
2024-03-21,20,11,«Á
2024-03-22,24,16,∂‡‘∆~–°”Í
2024-03-23,23,15,“ı~–°”Í
2024-03-24,21,15,–°”Í
2024-03-25,21,11,“ı~–°”Í
2024-03-26,15,8,“ı~∂‡‘∆
2024-03-27,17,12,“ı~÷–”Í
2024-03-28,15,11,–°”Í~∂‡‘∆
2024-03-29,27,15,“ı
2024-03-30,29,13,“ı
2024-03-31,18,11,ŒÌ~«Á
2024-04-01,24,15,∂‡‘∆~÷–”Í
2024-04-02,21,19,–°”Í~÷–”Í
2024-04-03,20,12,“ı
2024-04-04,18,12,“ı~–°”Í
2024-04-05,19,12,«Á~–°”Í
2024-04-06,17,12,“ı~«Á
2024-04-07,15,12,–°”Í
2024-04-08,13,11,–°”Í~“ı
2024-04-09,23,11,–°”Í~∂‡‘∆
2024-04-10,22,14,ŒÌ~“ı
2024-04-11,23,16,“ı~–°”Í
2024-04-12,17,15,÷–”Í~–°”Í
2024-04-13,19,15,ŒÌ~–°”Í
2024-04-14,23,17,ŒÌ~–°”Í
2024-04-15,27,16,ŒÌ~“ı
2024-04-16,26,14,ŒÌ~–°”Í
2024-04-17,15,11,¥Û”Í~“ı
2024-04-18,23,14,ŒÌ~“ı
2024-04-19,22,16,“ı~÷–”Í
2024-04-20,23,15,“ı
2024-04-21,20,15,“ı~–°”Í
2024-04-22,22,14,“ı~–°”Í
2024-04-23,21,15,–°”Í~“ı
2024-04-24,27,16,«Á~“ı
2024-04-25,25,14,“ı~–°”Í
2024-04-26,19,16,“ı
2024-04-27,20,17,“ı
2024-04-28,20,17,–°”Í
2024-04-29,22,14,“ı
2024-04-30,18,13,÷–”Í~–°”Í
2024-05-01,22,14,“ı~∂‡‘∆
2024-05-02,20,16,“ı~∂‡‘∆
2024-05-03,23,15,∂‡‘∆~“ı
2024-05-04,19,17,“ı~÷–”Í
2024-05-05,21,17,–°”Í
2024-05-06,26,17,“ı~∂‡‘∆
2024-05-07,27,16,“ı~«Á
2024-05-08,24,14,«Á~∂‡‘∆
2024-05-09,23,17,“ı
2024-05-10,26,19,«Á~–°”Í
2024-05-11,24,18,÷–”Í
2024-05-12,22,16,“ı~∂‡‘∆
2024-05-13,27,17,“ı~«Á
2024-05-14,27,15,«Á
2024-05-15,27,14,“ı~«Á
2024-05-16,27,17,«Á
2024-05-17,29,20,«Á
2024-05-18,29,19,∂‡‘∆~«Á
2024-05-19,28,20,“ı
2024-05-20,27,20,“ı
2024-05-21,26,20,“ı~∂‡‘∆
2024-05-22,27,19,“ı~∂‡‘∆
2024-05-23,27,20,“ı
2024-05-24,29,21,“ı
2024-05-25,25,22,“ı
2024-05-26,34,21,–°”Í~“ı
2024-05-27,22,17,–°”Í~“ı
2024-05-28,27,18,«Á~“ı
2024-05-29,27,19,“ı~∂‡‘∆
2024-05-30,26,20,“ı~–°”Í
2024-05-31,21,19,«·∂»ŒÌˆ≤
2024-06-01,25,19,∂‡‘∆
2024-06-02,28,20,∂‡‘∆~“ı
2024-06-03,32,21,∂‡‘∆~“ı
2024-06-04,28,20,∂‡‘∆~“ı
2024-06-05,23,19,–°”Í
2024-06-06,23,19,–°”Í~“ı
2024-06-07,25,20,“ı
2024-06-08,29,21,“ı
2024-06-09,31,22,“ı
2024-06-10,24,21,“ı
2024-06-11,23,22,ŒÌ~“ı
2024-06-12,28,22,“ı~«Á
2024-06-13,30,23,∂‡‘∆~“ı
2024-06-14,30,23,“ı
2024-06-15,32,23,∂‡‘∆
2024-06-16,33,22,∂‡‘∆~–°”Í
2024-06-17,29,22,–°”Í~«Á
2024-06-18,29,22,∂‡‘∆~–°”Í
2024-06-19,25,24,÷–”Í~¥Û”Í
2024-06-20,28,25,÷–”Í~–°”Í
2024-06-21,27,25,÷–”Í~–°”Í
2024-06-22,30,25,–°”Í
2024-06-23,26,21,–°”Í
2024-06-24,28,22,“ı~–°”Í
2024-06-25,24,22,÷–”Í~¥Û”Í
2024-06-26,24,22,÷–”Í~¥Û”Í
2024-06-27,24,23,÷–”Í
2024-06-28,27,22,“ı
2024-06-29,30,24,“ı
2024-06-30,29,24,¥Û”Í
2024-07-01,29,24,÷–”Í◊™“ı
2024-07-01,29,24,÷–”Í◊™“ı
2024-07-01,29,24,÷–”Í◊™“ı
2024-07-01,29,24,÷–”Í◊™“ı
2024-07-01,29,24,÷–”Í◊™“ı
2024-07-01,29,24,÷–”Í◊™“ı
