time,Python,C++,C,Java,C#,JavaScript,Fortran
2001-6-30,1.25,14.2,20.24,26.49,0.38,1.55,1.41
2001-7-30,1.13,16.11,20.77,25.03,0.43,1.72,1.31
2001-8-30,1.2,16.12,20.75,24.66,0.38,1.66,1.46
2001-9-28,1.17,15.85,20.77,24.82,0.39,1.63,1.4
2001-10-26,1.28,16.1,19.75,25.68,0.42,1.51,1.32
2001-11-28,1.23,15.67,19.21,24.37,0.76,1.47,1.29
2001-12-31,1.04,14.96,20.14,24.2,0.59,1.46,1.23
2002-1-30,1.02,15.18,18.83,24.06,0.62,2.73,1.23
2002-2-27,0.99,15.54,19.89,24.01,0.74,1.48,1.27
2002-3-29,0.99,15.91,19.85,24.41,0.74,1.47,1.27
2002-4-29,1.07,15.37,19.82,25.05,1.18,1.37,1.28
2002-5-29,1.06,14.86,19.99,25.19,1.16,1.36,1.26
2002-6-29,1.13,14.18,19.57,24.2,1.46,1.43,1.28
2002-7-31,1.08,14.94,19.25,24.53,1.36,1.15,1.05
2002-8-29,1.22,14.77,18.16,22.89,1.46,2.02,1.16
2002-9-29,1.08,15.9,18.7,24.48,1.65,1.91,1.14
2002-10-30,1.19,15.03,18.73,24.2,1.78,1.98,1.19
2002-11-29,1.0,13.64,17.5,24.12,2.38,2.49,1.22
2002-12-31,1.0,13.19,17.26,24.23,2.45,2.42,1.24
2003-1-31,1.03,14.63,18.25,24.79,1.99,2.92,1.14
2003-2-28,0.97,15.53,18.54,24.78,1.98,2.81,1.07
2003-3-31,0.99,14.57,17.21,24.6,2.38,2.63,0.96
2003-4-30,1.01,15.8,18.02,24.66,1.88,3.26,0.87
2003-5-30,1.16,15.58,18.5,23.11,1.94,1.72,0.91
2003-6-30,1.28,16.72,18.52,22.34,1.78,1.69,0.94
2003-7-31,1.3,16.58,17.97,23.21,2.0,1.79,0.87
2003-8-31,1.42,17.53,17.78,22.24,2.06,1.9,0.83
2003-9-30,1.49,16.17,18.31,21.9,1.94,1.66,0.73
2003-10-31,1.77,16.31,17.0,23.08,1.9,1.92,0.78
2003-11-30,1.1,17.42,18.47,25.01,1.71,1.74,0.56
2003-12-31,1.13,16.08,18.6,23.57,1.8,1.74,0.54
2004-1-31,1.01,15.71,18.2,22.56,2.18,2.14,0.48
2004-2-29,1.02,14.5,18.93,23.17,2.24,2.06,0.5
2004-3-31,1.01,15.99,17.75,24.24,2.14,1.78,0.51
2004-4-30,4.57,12.27,17.95,18.69,1.88,1.78,0.38
2004-5-30,6.58,12.55,18.29,17.54,1.65,1.45,0.37
2004-6-30,4.96,13.44,17.14,17.05,1.67,1.61,0.34
2004-7-31,4.7,15.31,16.33,17.0,1.63,1.68,0.33
2004-8-30,5.6,14.92,17.12,15.9,1.63,1.51,0.28
2004-9-30,4.44,15.02,18.17,17.05,1.64,1.27,0.37
2004-10-31,5.2,13.86,17.99,14.8,1.5,1.2,0.43
2004-11-30,3.03,11.91,19.7,16.33,1.95,1.59,0.5
2004-12-31,2.84,11.93,20.71,17.48,2.2,1.7,0.52
2005-1-31,2.51,11.34,19.82,18.34,2.36,1.78,0.52
2005-2-28,2.42,11.63,19.47,18.87,2.53,1.65,0.89
2005-3-31,2.7,10.19,18.63,16.98,2.82,1.64,1.05
2005-4-30,2.48,9.9,18.52,17.4,2.77,1.44,1.06
2005-5-31,2.8,9.72,19.37,18.57,2.78,1.39,0.82
2005-6-30,2.52,11.06,19.85,19.66,3.14,1.78,0.79
2005-7-31,2.88,10.51,19.47,21.21,3.48,1.92,0.59
2005-8-31,3.03,11.17,19.16,22.44,3.29,1.77,0.6
2005-9-30,2.88,11.82,18.77,21.87,3.46,2.04,0.64
2005-12-3,2.68,11.03,19.63,22.13,3.31,1.84,0.45
2006-1-4,2.6,11.46,19.01,22.25,3.55,1.54,0.47
2006-2-2,2.67,11.3,18.33,22.43,3.97,1.51,0.48
2006-3-1,3.09,11.16,17.79,21.89,3.15,1.73,0.46
2006-4-2,2.76,10.9,17.69,21.28,3.95,1.57,0.46
2006-5-1,3.04,10.94,17.69,21.32,3.27,2.19,0.43
2006-6-1,3.46,10.67,18.25,21.13,3.24,1.46,0.43
2006-7-2,3.02,9.78,17.83,21.85,3.4,2.11,0.37
2006-8-2,3.07,10.25,17.43,22.38,2.68,2.02,0.39
2006-9-2,3.14,10.75,18.06,21.53,2.99,2.44,0.4
2006-10-1,3.47,11.06,17.66,21.17,3.06,2.2,0.4
2006-11-2,3.64,11.05,17.2,20.4,3.02,2.31,0.39
2006-12-1,3.76,10.41,16.62,19.91,3.17,2.56,0.45
2007-1-2,3.5,10.42,15.81,19.16,3.52,2.84,0.48
2007-2-3,3.57,10.77,16.1,18.98,3.19,2.98,0.52
2007-3-3,3.9,11.11,15.63,18.04,3.37,3.49,0.53
2007-4-1,3.81,10.72,14.94,18.36,3.55,3.14,0.61
2007-5-5,3.78,10.11,15.15,19.14,3.66,3.07,0.63
2007-6-2,3.16,11.12,15.97,20.03,3.48,2.62,0.58
2007-7-2,3.02,10.5,16.36,21.01,3.71,2.51,0.56
2007-8-5,2.75,10.11,15.7,21.77,3.99,2.58,0.46
2007-9-2,3.03,9.94,14.91,21.7,3.58,2.72,0.48
2007-10-4,3.43,9.58,14.59,21.62,3.74,2.68,0.45
2007-11-4,4.23,8.75,13.97,20.54,3.92,2.93,0.6
2007-12-3,4.7,7.87,13.17,20.05,3.99,2.73,0.7
2008-1-3,5.54,8.73,13.92,20.85,4.86,3.2,0.31
2008-2-7,4.76,9.27,14.86,21.48,4.51,2.33,0.25
2008-6-1,4.9,10.81,15.51,20.89,4.06,2.93,0.33
2008-7-2,4.97,10.69,15.95,21.34,4.0,2.76,0.29
2008-8-3,4.98,10.06,16.18,21.57,3.7,2.89,0.29
2008-9-3,5.01,10.72,15.38,20.71,4.33,3.13,0.3
2008-10-6,4.56,10.95,15.57,20.95,3.77,2.67,0.38
2008-11-2,5.14,10.36,15.28,20.3,4.03,2.93,0.38
2008-12-3,4.17,10.1,15.02,17.92,4.58,2.97,0.35
2009-1-2,4.73,10.12,15.93,19.02,5.61,3.36,0.32
2009-2-1,4.57,9.63,15.84,19.4,5.06,3.54,0.31
2009-3-5,5.18,10.36,15.86,19.8,4.32,3.61,0.32
2009-4-7,6.08,10.74,15.47,19.34,4.06,3.68,0.34
2009-5-1,5.55,11.07,16.13,19.54,4.27,3.55,0.36
2009-6-4,4.76,10.59,16.78,20.15,4.54,4.02,0.37
2009-7-2,4.43,10.42,17.32,20.45,4.54,3.51,0.4
2009-8-1,4.49,10.5,17.22,19.53,4.44,2.81,0.4
2009-9-5,3.93,9.99,16.86,19.38,4.19,3.0,0.37
2009-10-2,3.9,9.88,16.84,18.65,4.42,3.03,0.38
2009-11-2,4.67,10.0,17.32,18.37,5.35,2.92,0.38
2009-12-2,5.19,9.18,16.28,17.06,6.26,3.51,0.43
2010-1-5,4.45,9.71,16.22,17.48,5.77,2.71,0.39
2010-2-7,4.31,9.45,16.6,17.35,5.01,2.64,0.38
2010-3-7,4.23,9.61,17.28,17.51,4.26,2.65,0.56
2010-4-5,4.21,9.71,18.06,18.05,4.43,2.47,0.35
2010-5-15,4.1,10.38,18.19,17.96,4.78,2.08,0.41
2010-7-6,4.22,10.47,18.48,18.67,5.73,2.43,0.35
2010-7-30,4.22,9.66,17.87,17.99,4.99,2.4,0.35
2010-9-11,4.58,9.81,17.15,17.92,5.02,1.66,0.46
2010-10-2,4.86,9.8,17.18,18.17,4.96,1.66,0.46
2010-11-3,5.68,9.5,16.72,18.51,5.71,1.66,0.48
2010-12-7,6.48,9.01,16.08,18.0,6.69,1.51,0.43
2011-1-2,6.26,8.78,15.82,17.77,6.23,1.59,0.46
2011-2-8,7.04,8.19,14.99,18.48,6.81,2.56,0.58
2011-3-8,5.74,8.75,15.26,19.71,7.21,1.87,0.35
2011-4-3,4.93,9.23,16.16,19.04,7.19,1.51,0.39
2011-5-2,4.58,9.15,16.17,18.16,7.54,1.39,0.5
2011-6-5,3.9,9.83,16.28,18.58,6.84,1.5,0.39
2011-6-27,3.9,9.83,16.28,18.58,6.84,1.5,0.39
2011-7-8,3.58,9.02,17.28,19.25,6.22,2.24,0.35
2011-8-3,3.41,8.43,17.39,19.41,6.04,1.56,0.39
2011-9-10,4.0,8.85,18.0,18.76,6.82,1.47,0.37
2011-10-9,3.94,9.07,17.71,17.91,6.72,2.19,0.38
2011-11-7,3.62,8.08,17.32,17.87,7.32,2.56,0.44
2011-12-4,3.49,8.25,17.06,17.56,8.21,2.2,0.48
2012-1-8,3.21,8.05,16.97,17.47,8.76,2.32,0.43
2012-2-5,3.15,7.85,16.52,17.05,8.65,2.46,0.52
2012-3-11,3.29,8.05,17.09,17.11,8.24,3.39,0.49
2012-4-8,3.66,8.9,17.55,17.03,7.35,2.88,0.4
2012-5-9,3.82,9.82,17.35,16.6,6.82,2.13,0.41
2012-6-10,3.85,9.36,17.72,16.26,7.03,1.47,0.45
2012-7-4,4.0,9.12,18.33,16.09,6.67,1.45,0.45
2012-8-10,3.88,9.33,18.94,16.35,6.59,1.37,0.44
2012-9-2,3.86,9.15,19.3,16.27,6.6,1.33,0.43
2012-10-5,3.9,9.26,19.82,17.19,6.53,1.26,0.42
2012-11-4,4.06,9.7,19.22,17.46,5.59,1.28,0.44
2012-12-2,3.85,9.2,18.7,17.57,5.55,1.32,0.44
2013-1-5,4.17,9.14,17.85,17.42,6.2,1.98,0.46
2013-2-8,4.95,8.76,17.08,18.39,6.68,1.42,0.46
2013-3-11,4.39,9.11,17.14,18.16,6.6,1.37,0.45
2013-4-7,4.44,9.71,17.86,17.68,6.15,1.51,0.41
2013-5-8,4.32,9.2,18.73,16.91,6.12,1.54,0.42
2013-6-9,4.18,8.82,17.81,16.66,5.78,1.65,0.41
2013-7-7,4.03,8.75,17.63,15.91,6.21,1.84,0.41
2013-7-12,4.03,8.75,17.63,15.91,6.21,1.84,0.41
2013-8-4,3.6,9.37,15.97,15.98,6.12,2.09,0.41
2013-9-11,3.17,8.66,16.98,16.15,5.56,2.01,0.54
2013-10-10,3.11,8.66,17.25,16.11,5.72,2.04,0.47
2013-11-9,3.11,8.37,18.16,16.52,6.02,2.05,0.48
2013-12-6,2.21,8.27,17.89,17.31,5.62,1.85,0.39
2014-1-1,2.37,7.56,17.94,16.52,5.85,1.58,0.41
2014-2-8,2.16,6.89,18.33,17.32,6.45,1.93,0.36
2014-3-3,2.02,6.31,17.53,16.41,5.57,1.9,0.36
2014-4-10,1.99,6.14,17.63,17.35,4.82,1.75,0.35
2014-5-7,3.06,5.99,16.93,16.91,3.75,1.79,0.42
2014-6-8,2.71,6.43,16.19,16.11,3.94,2.0,0.37
2014-7-6,2.66,5.52,17.14,15.69,4.05,1.81,0.38
2014-8-11,3.12,4.7,16.4,14.98,3.41,2.17,0.43
2014-9-1,2.78,4.67,16.72,14.14,4.35,2.45,0.41
2014-10-3,2.33,4.87,17.66,13.51,4.75,1.77,0.39
2014-11-8,2.59,6.1,17.47,14.39,4.98,2.09,0.55
2014-12-7,2.29,6.1,17.59,14.96,4.33,2.43,0.54
2015-1-6,2.61,6.7,16.7,15.53,5.05,3.27,0.27
2015-2-5,2.88,6.61,16.49,15.34,5.74,3.51,0.54
2015-3-7,2.61,6.64,16.64,15.58,4.92,3.63,0.61
2015-4-13,2.69,6.96,15.75,16.04,4.95,3.3,0.6
2015-5-13,3.72,7.87,16.85,16.87,5.26,3.13,0.62
2015-6-6,4.0,7.76,16.79,17.82,5.06,2.3,0.58
2015-7-12,4.26,8.64,16.15,17.73,5.65,2.19,0.77
2015-8-6,4.07,7.74,14.73,19.27,4.84,2.16,0.85
2015-9-5,3.66,6.78,15.62,19.56,4.91,2.34,0.89
2015-10-4,4.51,5.75,16.19,19.54,4.82,2.29,0.84
2015-11-7,3.77,6.2,17.15,20.4,4.32,2.47,0.83
2015-12-4,4.43,5.94,16.46,20.97,4.11,2.36,0.82
2016-1-2,3.85,6.91,16.04,21.47,4.71,2.57,0.85
2016-2-2,4.18,6.91,15.59,21.14,4.4,2.2,0.67
2016-3-3,4.26,6.72,14.6,20.53,4.27,2.33,0.79
2016-4-7,3.33,5.92,13.91,20.85,3.8,2.57,0.76
2016-5-6,3.79,6.7,13.22,20.96,4.48,2.34,0.7
2016-6-5,3.9,6.2,12.38,20.79,3.79,2.58,0.96
2016-7-4,4.17,6.31,12.24,19.8,3.92,2.64,0.94
2016-8-6,4.4,5.8,11.3,19.01,4.91,2.71,0.75
2016-9-8,4.3,6.66,10.95,18.24,5.49,2.93,0.68
2016-10-7,3.77,5.8,9.84,18.8,4.37,2.75,0.74
2016-11-5,3.57,5.41,9.2,18.75,3.66,2.71,0.74
2016-12-4,4.24,5.34,8.73,17.86,3.17,2.86,0.75
2017-1-7,3.46,6.3,9.35,17.28,4.04,2.85,0.74
2017-2-8,4.04,5.43,8.44,16.68,4.9,2.87,0.83
2017-3-7,3.92,5.18,7.74,16.38,4.41,2.67,0.74
2017-4-9,3.46,4.55,6.97,15.57,3.58,2.85,0.8
2017-5-6,3.55,4.75,7.0,14.64,3.46,3.07,0.76
2017-6-3,4.33,5.72,6.85,14.49,3.53,3.02,0.78
2017-7-7,3.54,5.58,7.32,13.77,3.52,2.61,0.86
2017-8-2,3.69,5.55,6.48,12.96,4.2,2.1,0.67
2017-9-6,2.98,5.56,7.38,12.69,4.78,2.02,0.88
2017-10-5,3.8,5.01,8.37,12.43,3.86,3.01,1.0
2017-11-12,4.48,5.34,9.29,13.23,3.01,2.97,0.67
2017-12-9,3.78,4.72,10.16,13.27,2.82,2.47,0.66
2018-1-3,4.68,5.6,11.04,14.22,3.75,3.47,0.43
2018-2-8,5.17,5.73,11.86,14.99,4.45,3.16,0.48
2018-3-7,5.87,6.45,12.76,14.94,5.07,3.92,0.46
2018-4-1,5.8,7.22,13.59,15.78,5.27,3.49,0.39
2018-5-6,5.19,7.67,14.0,16.38,4.4,2.92,0.42
2018-6-10,5.76,8.34,14.94,15.37,4.31,2.5,0.32
2018-7-7,6.36,7.62,14.66,16.14,3.79,2.83,0.37
2018-8-1,6.99,7.47,14.97,16.88,3.54,2.41,0.4
2018-9-3,7.65,7.39,15.45,17.44,3.3,2.13,0.42
2018-10-5,7.16,7.59,15.38,17.8,3.49,2.28,0.37
2018-11-8,7.68,8.28,14.4,16.75,3.95,2.66,0.38
2018-12-2,8.38,7.56,14.28,15.93,3.45,3.06,0.48
2019-1-4,8.29,8.16,13.34,16.9,3.28,3.3,0.44
2019-2-6,7.57,7.44,12.42,15.88,2.85,2.85,0.51
2019-3-2,8.26,8.13,13.31,14.88,3.27,2.43,0.47
2019-4-7,8.17,8.84,14.08,15.04,3.52,2.51,0.56
2019-5-4,7.83,8.1,14.24,16.0,3.98,2.69,0.52
2019-6-9,8.53,7.38,13.3,15.0,4.48,2.72,0.48
2019-7-6,9.26,6.7,14.21,15.06,4.36,2.3,0.38
2019-8-5,10.02,6.06,15.15,16.03,3.84,2.26,0.36
2019-9-9,9.87,5.64,15.21,16.66,3.4,2.13,0.36
2019-10-5,9.09,6.23,16.18,16.88,3.86,2.08,0.44
2019-11-3,9.84,5.6,16.04,16.25,4.32,1.93,0.39
2019-12-6,10.31,6.2,16.09,17.25,4.8,2.09,0.39
2020-1-5,9.7,5.57,15.77,16.9,5.35,2.45,0.31
2020-2-4,9.35,6.16,16.77,17.36,5.93,2.06,0.23
2020-3-4,10.11,6.79,16.33,17.78,5.32,2.05,0.29
2020-4-2,9.31,6.78,16.72,16.73,4.74,2.38,0.33
2020-5-2,9.12,6.13,17.07,16.28,4.29,2.68,0.32
2020-6-1,8.36,5.95,17.19,16.1,4.73,2.27,0.27
2020-7-4,9.09,6.21,16.45,15.1,5.25,2.48,0.22
2020-8-2,9.69,6.84,16.98,14.43,4.68,2.87,0.31
2020-9-6,10.47,7.11,15.95,13.48,4.58,2.54,0.36
2020-10-4,11.28,6.94,16.95,12.56,4.16,2.14,0.38
2020-11-3,12.12,7.6,16.21,11.68,4.67,2.03,0.41
2020-12-3,12.21,6.91,16.48,12.53,4.2,2.35,0.45
2021-1-2,11.72,7.56,17.38,11.96,3.95,2.2,0.46
2021-2-6,10.86,6.88,16.34,11.29,4.44,2.27,0.63
2021-3-4,10.31,6.52,15.33,10.45,4.97,2.11,0.83
2021-4-4,11.03,7.14,14.32,11.23,4.91,2.44,0.91
2021-5-2,11.87,7.81,13.38,11.74,4.41,2.45,0.83
2021-6-5,11.84,7.36,12.54,11.54,4.33,2.33,1.07
2021-7-4,10.96,8.02,11.63,11.2,4.84,2.71,1.12
2021-8-3,11.86,7.36,12.57,10.43,5.14,2.95,1.14
2021-9-11,11.67,7.13,11.83,11.12,5.78,2.55,1.01
2021-10-6,11.27,7.5,11.16,10.46,5.26,2.19,1.08
2021-11-6,11.77,8.28,10.72,10.72,6.06,2.66,1.19
2021-12-5,12.9,7.73,11.8,10.12,6.4,2.3,1.04
2022-1-1,13.58,8.29,12.44,10.66,5.68,2.09,0.77
2022-2-2,15.33,8.01,14.08,12.13,5.37,1.83,0.58
2022-3-2,14.26,8.66,13.06,11.19,5.92,2.09,0.39
2022-4-5,13.92,8.28,12.71,10.82,6.82,2.41,0.35
2022-5-3,12.74,8.83,11.59,10.99,6.39,2.12,0.38
2022-6-4,12.2,9.63,11.91,10.47,6.12,2.09,0.55
2022-7-2,13.44,10.0,13.13,11.59,5.65,1.78,0.76
2022-8-2,15.63,10.14,14.76,12.46,5.41,2.4,0.8
2022-9-1,15.74,9.76,13.96,11.72,4.88,2.82,1.03
2022-10-1,17.08,9.92,15.21,12.84,4.42,2.74,0.79
2022-11-1,17.18,10.75,15.08,11.98,4.25,2.74,0.57
2022-12-2,16.66,11.94,16.56,11.82,4.92,3.19,0.43
2022-12-29,16.36,12.91,16.26,12.21,5.73,2.87,0.45
2023-2-1,15.49,13.94,15.39,13.21,6.38,2.52,0.58
2023-3-2,14.83,13.29,14.73,13.56,7.17,2.17,0.79
2023-4-1,14.51,12.96,14.41,13.23,8.21,2.1,0.59
2023-5-2,13.45,11.96,13.35,12.22,7.43,2.44,0.78
2023-6-2,12.46,11.36,12.37,11.28,6.71,2.82,0.99
2023-7-2,13.42,10.8,11.56,10.5,6.87,3.11,1.25
2023-8-4,13.33,10.63,11.41,10.33,7.04,3.29,1.03
2023-9-2,14.16,10.65,11.27,9.49,7.31,3.3,1.28
2023-10-4,14.82,10.67,12.08,8.92,7.71,2.91,1.02
2023-11-2,14.16,10.36,11.77,8.35,7.65,3.21,1.3
2023-12-4,13.86,10.01,11.44,7.99,7.3,2.9,1.07
2024-1-2,13.97,9.96,11.44,7.87,7.16,2.77,1.09
2024-2-2,15.16,10.53,10.97,8.88,7.53,3.17,1.4
2024-3-1,15.63,10.7,11.17,8.95,7.54,3.38,1.22
2024-4-3,16.41,9.76,10.21,8.94,6.77,2.89,1.47
2024-5-1,16.33,9.53,9.98,8.69,6.49,3.01,1.24
2024-6-1,15.39,10.03,9.23,8.4,6.65,3.32,1.53
